"CheckID","Timestamp","Type","Category","CISControl","CISDescription","CheckName","Reason","ManualVerificationSteps","RiskIfNotChecked","Prerequisites","AlternativeEvidence","FollowUpRequired","AuditTarget"
"SKIP-20260116-B2FED806","2026-01-16 02:53:09","Skipped","Network Security","NET1","CyberArk port exposure","Port Scan","Skipped via -SkipPortScan parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control NET1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Port Scan requirements.","","True","https://test.local"
"SKIP-20260116-B465A553","2026-01-16 02:53:09","Skipped","Network Security","NET2","Vault port security (1858)","Vault Port Security Check","Skipped via -SkipPortScan parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control NET2 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Vault Port Security Check requirements.","","True","https://test.local"
"SKIP-20260116-8C371280","2026-01-16 02:53:27","Error","TLS Security","TLS1","Cipher suite strength","Cipher Suite Enumeration","Could not enumerate cipher suites: Exception calling "".ctor"" with ""2"" argument(s): ""No such host is known.""","Investigate the error condition, resolve any connectivity or permission issues, and re-run the audit.","Unable to assess security posture for this control. Potential security gap until manually verified.","Refer to CyberArk documentation for Cipher Suite Enumeration requirements.","","True","https://test.local"
"SKIP-20260116-1B0D3838","2026-01-16 02:53:37","Error","Transport Security","8.1","Ensure TLS 1.2+ enforced","TLS Configuration Check","Could not test TLS configuration: Exception calling ""Connect"" with ""2"" argument(s): ""No such host is known.""","Investigate the error condition, resolve any connectivity or permission issues, and re-run the audit.","Unable to assess security posture for this control. Potential security gap until manually verified.","Refer to CyberArk documentation for TLS Configuration Check requirements.","","True","https://test.local"
"SKIP-20260116-66DF9BBC","2026-01-16 02:59:18","Error","PVWA Security","V7.1","PVWA - HTTP security headers","PVWA Security Headers Check","Could not check PVWA security headers: No such host is known. (test.local:443)","Investigate the error condition, resolve any connectivity or permission issues, and re-run the audit.","Unable to assess security posture for this control. Potential security gap until manually verified.","Refer to CyberArk documentation for PVWA Security Headers Check requirements.","","True","https://test.local"
"SKIP-20260116-8D28D262","2026-01-16 02:59:45","Skipped","CVE Assessment","CVE1","CVE-2021-31796 (SSRF)","CVE-2021-31796 (SSRF)","Skipped via -SkipCVEChecks parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control CVE1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for CVE-2021-31796 (SSRF) requirements.","","True","https://test.local"
"SKIP-20260116-779F9FC4","2026-01-16 02:59:45","Skipped","CVE Assessment","CVE2","CVE-2022-22536 (Authentication Bypass)","CVE-2022-22536 (Auth Bypass)","Skipped via -SkipCVEChecks parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control CVE2 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for CVE-2022-22536 (Auth Bypass) requirements.","","True","https://test.local"
"SKIP-20260116-4866E349","2026-01-16 02:59:45","Skipped","CVE Assessment","CVE3","CVE-2023-43903 (XSS)","CVE-2023-43903 (XSS)","Skipped via -SkipCVEChecks parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control CVE3 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for CVE-2023-43903 (XSS) requirements.","","True","https://test.local"
"SKIP-20260116-0C06695E","2026-01-16 02:59:45","Skipped","CVE Assessment","CVE5","CVE-2024-42340 (DOM XSS)","CVE-2024-42340 (DOM XSS)","Skipped via -SkipCVEChecks parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control CVE5 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for CVE-2024-42340 (DOM XSS) requirements.","","True","https://test.local"
"SKIP-20260116-76F89B0A","2026-01-16 02:59:45","Skipped","CVE Assessment","CVE6","CVE-2024-42339 (HTML Injection)","CVE-2024-42339 (HTML Injection)","Skipped via -SkipCVEChecks parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control CVE6 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for CVE-2024-42339 (HTML Injection) requirements.","","True","https://test.local"
"SKIP-20260116-3B76CF79","2026-01-16 02:59:45","Skipped","API Security","API1","API authentication bypass","API Authentication Bypass","Skipped via -SkipAPITests parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control API1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for API Authentication Bypass requirements.","","True","https://test.local"
"SKIP-20260116-A43B7E87","2026-01-16 02:59:45","Skipped","API Security","API2","Injection vulnerabilities","Injection Vulnerability Testing","Skipped via -SkipAPITests parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control API2 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Injection Vulnerability Testing requirements.","","True","https://test.local"
"SKIP-20260116-EAB76435","2026-01-16 02:59:45","Skipped","API Security","API3","Broken object level authorization","BOLA/IDOR Testing","Skipped via -SkipAPITests parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control API3 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for BOLA/IDOR Testing requirements.","","True","https://test.local"
"SKIP-20260116-ACB6474A","2026-01-16 02:59:45","Skipped","API Security","API4","Mass assignment","Mass Assignment Testing","Skipped via -SkipAPITests parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control API4 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Mass Assignment Testing requirements.","","True","https://test.local"
"SKIP-20260116-B13479A8","2026-01-16 02:59:45","Skipped","API Security","API5","API versioning security","API Versioning Security","Skipped via -SkipAPITests parameter","This check requires manual verification. Review the CyberArk documentation for CIS Control API5 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for API Versioning Security requirements.","","True","https://test.local"
"SKIP-20260116-3313B279","2026-01-16 02:59:52","Skipped","Safe Configuration","3.1","Ensure safe access follows least privilege","Safe Configuration Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control 3.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Safe Configuration Audit requirements.","","True","https://test.local"
"SKIP-20260116-D1DF0C5A","2026-01-16 02:59:52","Skipped","Credential Management","4.1","Ensure automatic password management enabled","Account Configuration Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control 4.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Account Configuration Audit requirements.","","True","https://test.local"
"SKIP-20260116-E063B9FB","2026-01-16 02:59:52","Skipped","Platform Configuration","2.4","Ensure password expiration policy","Platform Configuration Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control 2.4 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Platform Configuration Audit requirements.","","True","https://test.local"
"SKIP-20260116-07082E3E","2026-01-16 02:59:52","Skipped","User Management","5.1","Ensure MFA enabled for authentication","User Configuration Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control 5.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for User Configuration Audit requirements.","","True","https://test.local"
"SKIP-20260116-5654B893","2026-01-16 02:59:52","Skipped","Authentication","5.1","Ensure MFA enabled for authentication","Authentication Methods Audit","Skipped via -UnauthenticatedOnly parameter (requires CyberArk API authentication)","This check requires manual verification. Review the CyberArk documentation for CIS Control 5.1 and manually verify compliance.","Security posture unknown for this control. Manual assessment required to ensure compliance.","Refer to CyberArk documentation for Authentication Methods Audit requirements.","","True","https://test.local"
